Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,,
2002-09-23,364.0254821777344,371.70001220703125,381.5,366.25,375.0,106400
2002-09-24,372.98651123046875,380.8500061035156,383.8500061035156,370.8999938964844,372.0,110800
2002-09-25,376.5611877441406,384.5,387.3999938964844,379.0,382.79998779296875,45200
2002-09-26,374.4066467285156,382.29998779296875,391.0,380.0,380.0,30700
2002-09-27,390.712890625,398.95001220703125,402.0,380.0,380.0,123900
2002-09-30,381.6048583984375,389.6499938964844,405.0,388.04998779296875,395.04998779296875,86100
2002-10-01,371.4196472167969,379.25,390.0,368.1499938964844,385.04998779296875,137700
2002-10-02,371.4196472167969,379.25,379.25,379.25,379.25,0
2002-10-03,360.3529357910156,367.95001220703125,385.0,366.20001220703125,385.0,73400
2002-10-04,358.5411071777344,366.1000061035156,374.79998779296875,360.79998779296875,367.04998779296875,76300
2002-10-07,360.1570739746094,367.75,372.5,363.1000061035156,365.0,99300
2002-10-08,376.8059997558594,384.75,387.95001220703125,367.0,367.0,103800
2002-10-09,384.1022033691406,392.20001220703125,396.0,386.1499938964844,389.5,79900
2002-10-10,397.37249755859375,405.75,409.0,393.0,393.0,181900
2002-10-11,391.6922912597656,399.95001220703125,405.79998779296875,380.1000061035156,380.1000061035156,139700
2002-10-14,390.712890625,398.95001220703125,406.0,396.20001220703125,401.0,46600
2002-10-15,390.712890625,398.95001220703125,398.95001220703125,398.95001220703125,398.95001220703125,0
2002-10-16,389.5375671386719,397.75,402.0,395.0,399.5,51800
2002-10-17,387.0892639160156,395.25,404.70001220703125,391.25,395.0,76200
2002-10-18,393.895751953125,402.20001220703125,419.0,394.0,394.0,55600
2002-10-21,396.0503234863281,404.3999938964844,409.95001220703125,403.0,405.0,79900
2002-10-22,378.71575927734375,386.70001220703125,410.0,381.29998779296875,410.0,154600
2002-10-23,393.3570861816406,401.6499938964844,405.1000061035156,382.1499938964844,382.1499938964844,380500
2002-10-24,400.5064697265625,408.95001220703125,413.8999938964844,395.0,400.8999938964844,287400
2002-10-25,402.3671875,410.8500061035156,417.8999938964844,401.70001220703125,409.8999938964844,97600
2002-10-28,398.694580078125,407.1000061035156,415.0,405.04998779296875,412.0,83500
2002-10-29,411.9157409667969,420.6000061035156,426.79998779296875,406.0,408.0,272900
2002-10-30,413.0421447753906,421.75,435.5,401.0,421.8999938964844,272300
2002-10-31,415.00079345703125,423.75,425.0,413.0,420.0,99000
2002-11-01,432.9229431152344,442.04998779296875,446.0,423.5,425.0,448800
2002-11-04,439.0438537597656,448.29998779296875,451.0,438.75,441.0,55500
2002-11-05,427.0468444824219,436.04998779296875,448.0,433.5,448.0,122300
2002-11-06,427.0468444824219,436.04998779296875,436.04998779296875,436.04998779296875,436.04998779296875,0
2002-11-07,420.3382568359375,429.20001220703125,433.79998779296875,426.0,433.1000061035156,141900
2002-11-08,424.0598449707031,433.0,437.5,426.54998779296875,426.54998779296875,127700
2002-11-11,426.99786376953125,436.0,440.0,430.1000061035156,440.0,50000
2002-11-12,426.8509826660156,435.8500061035156,439.0,432.04998779296875,432.04998779296875,41400
2002-11-13,433.9512939453125,443.1000061035156,448.8999938964844,434.1000061035156,434.1000061035156,306000
2002-11-14,430.2787780761719,439.3500061035156,446.0,435.3999938964844,446.0,133600
2002-11-15,443.45098876953125,452.79998779296875,460.0,439.0,443.5,376500
2002-11-18,442.3737487792969,451.70001220703125,456.0,448.3500061035156,454.04998779296875,104300
2002-11-19,442.3737487792969,451.70001220703125,451.70001220703125,451.70001220703125,451.70001220703125,0
2002-11-20,443.4999694824219,452.8500061035156,456.0,448.1000061035156,451.0,98400
2002-11-21,467.78790283203125,477.6499938964844,480.5,401.8500061035156,401.8500061035156,259400
2002-11-22,464.1642761230469,473.95001220703125,485.0,469.0,471.6000061035156,131600
2002-11-25,467.59210205078125,477.45001220703125,484.0,465.0,465.0,62500
2002-11-26,463.2339172363281,473.0,495.0,468.54998779296875,480.0,231600
2002-11-27,456.52532958984375,466.1499938964844,475.29998779296875,463.04998779296875,473.0,121300
2002-11-28,461.52001953125,471.25,476.8999938964844,467.0,471.70001220703125,97700
2002-11-29,461.52001953125,471.25,471.25,471.25,471.25,0
2002-12-02,468.1307373046875,478.0,500.0,476.0,485.0,173800
2002-12-03,469.5508117675781,479.45001220703125,484.79998779296875,472.6000061035156,484.79998779296875,173700
2002-12-04,470.38323974609375,480.29998779296875,487.0,477.0,485.0,340900
2002-12-05,462.8422546386719,472.6000061035156,482.0,468.5,482.0,146300
2002-12-06,459.8551330566406,469.54998779296875,479.79998779296875,464.25,477.0,174800
2002-12-09,464.5560607910156,474.3500061035156,481.0,470.20001220703125,478.0,116800
2002-12-10,467.8858642578125,477.75,525.0,466.1000061035156,466.1000061035156,54500
2002-12-11,455.39910888671875,465.0,482.8999938964844,463.5,482.8999938964844,242700
2002-12-12,460.14898681640625,469.8500061035156,476.45001220703125,460.1000061035156,465.0,271300
2002-12-13,466.1230163574219,475.95001220703125,477.0,465.5,465.5,73300
2002-12-16,470.43218994140625,480.3500061035156,565.0,462.0,565.0,323300
2002-12-17,470.82391357421875,480.75,485.79998779296875,460.0,460.0,143300
2002-12-18,473.6639709472656,483.6499938964844,485.3999938964844,470.0,480.75,99500
2002-12-19,483.45758056640625,493.6499938964844,495.95001220703125,481.45001220703125,487.0,222400
2002-12-20,479.34429931640625,489.45001220703125,495.70001220703125,486.04998779296875,492.0,71700
2002-12-23,480.7643737792969,490.8999938964844,491.95001220703125,485.0,490.5,55100
2002-12-24,478.2180480957031,488.29998779296875,493.5,487.04998779296875,492.0,100300
2002-12-25,478.2180480957031,488.29998779296875,488.29998779296875,488.29998779296875,488.29998779296875,0
2002-12-26,481.69482421875,491.8500061035156,494.8999938964844,486.8999938964844,486.8999938964844,82200
2002-12-27,496.9236755371094,507.3999938964844,509.3999938964844,490.0,491.95001220703125,266500
2002-12-30,491.2923583984375,501.6499938964844,510.0,500.1000061035156,509.0,75000
2002-12-31,492.9082336425781,503.29998779296875,509.5,495.1000061035156,495.1000061035156,108100
2003-01-01,498.2458190917969,508.75,511.95001220703125,501.0,502.0,112700
2003-01-02,492.0758972167969,502.45001220703125,511.5,501.1499938964844,510.0,75900
2003-01-03,496.5319519042969,507.0,511.0,495.0,503.0,158400
2003-01-06,491.3902893066406,501.75,510.0,499.1000061035156,510.0,141300
2003-01-07,484.9266662597656,495.1499938964844,509.70001220703125,493.04998779296875,509.70001220703125,89100
2003-01-08,488.1094665527344,498.3999938964844,501.25,494.0,494.0,131100
2003-01-09,484.6327819824219,494.8500061035156,501.8999938964844,492.1499938964844,500.1499938964844,155800
2003-01-10,484.87762451171875,495.1000061035156,501.79998779296875,489.1000061035156,497.0,151300
2003-01-13,484.9266662597656,495.1499938964844,500.0,415.45001220703125,495.0,61500
2003-01-14,499.9107360839844,510.45001220703125,515.5,495.25,499.79998779296875,315000
2003-01-15,493.2510681152344,503.6499938964844,517.7999877929688,495.8999938964844,515.0,578400
2003-01-16,518.5186157226562,529.4500122070312,538.4000244140625,515.0,515.0,679900
2003-01-17,513.5238647460938,524.3499755859375,533.8499755859375,520.3499755859375,525.0,229600
2003-01-20,518.5186157226562,529.4500122070312,534.0,516.0999755859375,516.0999755859375,260100
2003-01-21,509.4593811035156,520.2000122070312,530.0,516.2999877929688,525.0499877929688,67500
2003-01-22,504.80743408203125,515.4500122070312,522.0,514.0,522.0,54900
2003-01-23,503.0447082519531,513.6500244140625,518.0,511.29998779296875,513.0,26100
2003-01-24,501.6734924316406,512.25,518.0,509.0,515.0,195000
2003-01-27,502.2611083984375,512.8499755859375,516.0,508.6000061035156,514.5,145900
2003-01-28,499.9107360839844,510.45001220703125,514.0,506.5,513.7999877929688,172200
2003-01-29,504.9054260253906,515.5499877929688,519.0,510.0,510.0,116500
2003-01-30,504.8564147949219,515.5,519.9500122070312,513.5499877929688,515.0499877929688,127300
2003-01-31,502.7997741699219,513.4000244140625,517.5,511.25,515.0,23900
2003-02-03,505.1011962890625,515.75,525.0,513.0499877929688,515.0,102700
2003-02-04,519.987548828125,530.9500122070312,535.0,517.0,524.3499755859375,255100
2003-02-05,524.2476806640625,535.2999877929688,538.7000122070312,521.25,525.0499877929688,221700
2003-02-06,538.6929931640625,550.0499877929688,554.4000244140625,521.0,521.0,319500
2003-02-07,532.572021484375,543.7999877929688,553.3499755859375,525.0,542.0,119800
2003-02-10,523.611083984375,534.6500244140625,543.0,533.0,535.0,81300
2003-02-11,516.9024658203125,527.7999877929688,540.0,524.0,531.0,142000
2003-02-12,509.1164855957031,519.8499755859375,542.0,519.0,542.0,112900
2003-02-13,509.1164855957031,519.8499755859375,519.8499755859375,519.8499755859375,519.8499755859375,0
2003-02-14,513.8666381835938,524.7000122070312,530.0,517.0,530.0,142800
2003-02-17,511.80975341796875,522.5999755859375,532.9500122070312,520.7000122070312,530.9000244140625,87200
2003-02-18,508.38214111328125,519.0999755859375,527.9000244140625,518.0499877929688,523.0,137500
2003-02-19,510.8795471191406,521.6500244140625,532.9000244140625,519.2999877929688,530.0,184000
2003-02-20,513.3767700195312,524.2000122070312,527.0,520.0999755859375,526.9500122070312,171200
2003-02-21,513.1810913085938,524.0,525.8499755859375,520.0,524.0,135700
2003-02-24,509.75323486328125,520.5,526.75,519.5499877929688,524.0,105000
2003-02-25,504.80743408203125,515.4500122070312,520.0,513.0499877929688,520.0,117000
2003-02-26,494.1324768066406,504.54998779296875,515.5,499.04998779296875,515.0,195700
2003-02-27,500.1064758300781,510.6499938964844,516.9000244140625,506.0,508.0,153300
2003-02-28,505.1011962890625,515.75,544.0,506.0,510.0,140500
2003-03-03,502.0652770996094,512.6500244140625,523.0,511.04998779296875,523.0,89200
2003-03-04,492.02691650390625,502.3999938964844,511.3500061035156,500.1499938964844,511.3500061035156,95800
2003-03-05,497.26641845703125,507.75,515.0,495.0,500.0,110400
2003-03-06,495.4546203613281,505.8999938964844,515.7999877929688,504.75,515.0,55300
2003-03-07,488.69708251953125,499.0,503.8999938964844,496.20001220703125,500.0,116300
2003-03-10,473.71307373046875,483.70001220703125,507.0,481.70001220703125,499.70001220703125,125100
2003-03-11,467.5430908203125,477.3999938964844,488.95001220703125,466.3500061035156,481.0,179300
2003-03-12,461.91180419921875,471.6499938964844,484.0,469.0,478.0,204300
2003-03-13,462.1076965332031,471.8500061035156,476.0,468.79998779296875,473.0,125900
2003-03-14,462.1076965332031,471.8500061035156,471.8500061035156,471.8500061035156,471.8500061035156,0
2003-03-17,472.6846923828125,482.6499938964844,486.0,468.25,471.0,199900
2003-03-18,472.6846923828125,482.6499938964844,482.6499938964844,482.6499938964844,482.6499938964844,0
2003-03-19,474.1047668457031,484.1000061035156,490.0,481.6000061035156,486.0,193500
2003-03-20,488.7950439453125,499.1000061035156,500.0,482.5,485.0,80900
2003-03-21,488.7950439453125,499.1000061035156,499.1000061035156,499.1000061035156,499.1000061035156,0
2003-03-24,490.9986877441406,501.3500061035156,513.4000244140625,496.1000061035156,501.0,43100
2003-03-25,481.8905944824219,492.04998779296875,499.5,488.0,489.0,79900
2003-03-26,487.6197814941406,497.8999938964844,504.0,490.04998779296875,490.04998779296875,188600
2003-03-27,479.1483459472656,489.25,495.0,485.0,495.0,195900
2003-03-28,479.2463073730469,489.3500061035156,499.0,484.1000061035156,497.8999938964844,205800
2003-03-31,470.08935546875,480.0,488.0,475.0,488.0,149200
2003-04-01,470.2852783203125,480.20001220703125,487.0,472.0,479.8999938964844,164500
2003-04-02,471.2645568847656,481.20001220703125,489.0,475.0,475.0,162300
2003-04-03,477.3366394042969,487.3999938964844,529.0,475.3500061035156,529.0,41100
2003-04-04,492.957275390625,503.3500061035156,514.0,481.0,481.0,76600
2003-04-07,498.9313049316406,509.45001220703125,522.75,502.1499938964844,502.1499938964844,160700
2003-04-08,505.1011962890625,515.75,520.0,505.0,505.1000061035156,111400
2003-04-09,497.3643798828125,507.8500061035156,515.0,500.54998779296875,511.1000061035156,63800
2003-04-10,499.4700012207031,510.0,520.0,506.0,506.0,134900
2003-04-11,497.2174987792969,507.70001220703125,517.9500122070312,499.8999938964844,517.9500122070312,89700
2003-04-15,487.42401123046875,497.70001220703125,506.0,493.1499938964844,501.0,221000
2003-04-16,486.1507873535156,496.3999938964844,502.3500061035156,493.04998779296875,496.0,123100
2003-04-17,471.7053527832031,481.6499938964844,510.0,477.04998779296875,499.95001220703125,243600
2003-04-18,471.7053527832031,481.6499938964844,481.6499938964844,481.6499938964844,481.6499938964844,0
2003-04-21,468.277587890625,478.1499938964844,488.0,473.0,480.0,86600
2003-04-22,465.4864501953125,475.29998779296875,482.0,474.04998779296875,477.5,182900
2003-04-23,460.4917297363281,470.20001220703125,476.5,466.0,475.5,271200
2003-04-24,466.7106018066406,476.54998779296875,484.0,470.5,473.0,214600
2003-04-25,466.61273193359375,476.45001220703125,482.8999938964844,473.95001220703125,478.0,183600
2003-04-28,471.36260986328125,481.29998779296875,488.0,475.95001220703125,488.0,61800
2003-04-29,486.5425109863281,496.79998779296875,500.0,481.0,481.0,209700
2003-04-30,472.9294738769531,482.8999938964844,498.0,481.95001220703125,495.20001220703125,77300
2003-05-01,472.9294738769531,482.8999938964844,482.8999938964844,482.8999938964844,482.8999938964844,0
2003-05-02,469.79559326171875,479.70001220703125,489.3999938964844,474.29998779296875,483.0,177500
2003-05-05,469.9425354003906,479.8500061035156,489.0,474.25,485.29998779296875,159700
2003-05-06,474.9861755371094,485.0,491.0,480.5,480.5,96800
2003-05-07,473.5171813964844,483.5,487.0,479.04998779296875,486.0,277600
2003-05-08,464.5560607910156,474.3500061035156,482.3999938964844,468.20001220703125,471.0,241700
2003-05-09,465.6333312988281,475.45001220703125,481.6000061035156,470.5,475.1000061035156,96800
2003-05-12,468.71832275390625,478.6000061035156,486.95001220703125,472.1000061035156,472.1000061035156,103300
2003-05-13,467.59210205078125,477.45001220703125,486.95001220703125,473.5,481.5,113800
2003-05-14,467.4941711425781,477.3500061035156,482.5,469.1000061035156,471.0,306500
2003-05-15,455.3011779785156,464.8999938964844,477.0,459.5,472.0,412700
2003-05-16,456.1336364746094,465.75,472.75,462.5,468.95001220703125,117600
2003-05-19,467.0533752441406,476.8999938964844,479.8999938964844,465.29998779296875,470.0,203600
2003-05-20,465.9270935058594,475.75,478.0,470.0,470.0,149100
2003-05-21,465.9761962890625,475.79998779296875,484.0,475.0,476.0,47600
2003-05-22,465.4374694824219,475.25,479.8999938964844,470.0,476.0,131600
2003-05-23,475.6227722167969,485.6499938964844,492.79998779296875,472.0,479.8999938964844,164400
2003-05-26,481.0582275390625,491.20001220703125,496.0,486.1000061035156,489.0,80100
2003-05-27,485.02459716796875,495.25,499.0,490.0,499.0,178700
2003-05-28,488.99090576171875,499.29998779296875,502.25,491.1499938964844,498.8999938964844,174600
2003-05-29,493.6427917480469,504.04998779296875,509.95001220703125,497.04998779296875,503.0,190100
2003-05-30,502.1632080078125,512.75,514.5,501.1000061035156,501.1000061035156,121100
2003-06-02,502.2611083984375,512.8499755859375,514.5,500.1000061035156,503.0,69100
2003-06-03,501.0859375,511.6499938964844,515.0,504.0,514.0,41200
2003-06-04,498.9313049316406,509.45001220703125,515.9000244140625,506.0,512.1500244140625,33800
